# Time-averaged data for fix myavt
# TimeStep v_Fx v_Fy
10000 -13.6619 -79.825
10010 -14.4363 -52.5611
10020 -24.6142 -57.125
10030 11.0425 -100.185
10040 5.10309 -90.0725
10050 -3.17848 -61.6066
10060 9.64655 -66.5679
10070 -42.8869 -95.481
10080 -46.0438 -111.885
10090 -38.8251 -123.98
10100 -53.8209 -77.4512
10110 -90.5061 -62.1416
10120 -40.8244 -54.553
10130 -26.4418 -75.7895
10140 -46.5897 -115.473
10150 -6.87696 -95.1365
10160 -24.5634 -59.8477
10170 -24.1215 -29.6462
10180 -42.7513 -25.9338
10190 -16.5866 20.3288
10200 13.6779 44.4006
10210 23.6037 38.4651
10220 6.49008 29.9717
10230 36.2948 57.364
10240 24.2533 91.3443
10250 -3.76855 87.4592
10260 45.5336 89.5353
10270 79.3706 109.587
10280 2.51112 122.106
10290 -21.5424 117.619
10300 0.685152 107.482
10310 -29.1577 92.3188
10320 -8.75553 70.5399
10330 6.34166 67.214
10340 -2.22471 42.3588
10350 -21.4645 -15.7183
10360 -21.6837 -35.3489
10370 -33.8571 -27.366
10380 -54.2438 -7.20272
10390 -66.1703 -4.65603
10400 -69.0606 -77.6185
10410 -62.0361 -47.0333
10420 -67.1383 -17.1674
10430 -72.1809 -29.5044
10440 -28.556 -33.6348
10450 -23.8962 -13.3444
10460 -36.2852 -75.1417
10470 -33.6714 -54.7074
10480 -27.3198 -32.065
10490 -72.6189 -22.8835
10500 -114.358 28.7787
10510 -64.4509 24.5413
10520 -65.6877 26.3901
10530 -106.69 41.8455
10540 -103.37 27.4492
10550 -43.1717 43.1539
10560 -70.8016 86.4522
10570 -73.1505 52.479
10580 -11.1732 37.8233
10590 11.9644 8.06176
10600 17.9358 24.0731
10610 20.8691 9.53046
10620 14.8355 3.77495
10630 -30.1864 21.1726
10640 -50.9651 5.86701
10650 -83.9364 -6.79689
10660 -80.23 19.1929
10670 -67.3891 17.8086
10680 -62.9033 22.6084
10690 -33.1304 33.3196
10700 -13.3196 59.3926
10710 -8.54674 -6.84275
10720 15.4481 5.36671
10730 58.0525 -31.1049
10740 41.787 -35.6197
10750 105.491 -39.4116
10760 90.8099 -36.7796
10770 51.9455 -53.5846
10780 54.7331 -44.4742
10790 47.8385 -52.9157
10800 35.3301 -27.6952
10810 -30.3104 -51.0633
10820 21.7598 -91.9558
10830 89.6295 -115.362
10840 79.7833 -103.143
10850 47.8102 -49.4079
10860 40.4036 -60.6668
10870 17.6896 -77.927
10880 -62.7443 -21.5183
10890 -62.8934 -0.352479
10900 -20.4999 24.0855
10910 -52.4993 9.24683
10920 -70.9609 9.71141
10930 17.9819 -0.000305089
10940 65.6591 -7.50463
10950 44.42 -17.6184
10960 38.2811 27.1748
10970 73.5388 72.0304
10980 79.9858 40.5182
10990 71.2705 26.7957
11000 89.1064 46.6983
11010 145.789 46.5117
11020 160.971 18.0895
11030 89.8107 -14.1092
11040 55.5589 -21.5488
11050 89.5489 -65.6816
11060 45.8277 -89.1324
11070 48.5209 -42.3773
11080 77.0798 -15.2649
11090 107.75 -27.1719
11100 118.193 -2.6488
11110 115.412 45.1021
11120 109.325 56.5307
11130 108.726 5.22965
11140 88.3508 -9.58521
11150 74.7381 18.7385
11160 20.8341 10.5607
11170 14.7704 -18.5105
11180 12.695 -24.7955
11190 -27.022 15.1842
11200 -28.9299 17.7524
11210 -15.9143 45.8249
11220 -53.645 64.9493
11230 -103.569 27.5767
11240 -117.419 12.269
11250 -127.408 41.7135
11260 -107.424 57.4007
11270 -122.654 77.0789
11280 -102.227 134.701
11290 -81.3694 133.22
11300 -26.008 99.3034
11310 -70.6477 91.5158
11320 -30.8644 118.066
11330 -29.6635 128.195
11340 -54.1256 98.7192
11350 -73.4132 59.0977
11360 -84.3987 74.0721
11370 -121.689 100.331
11380 -134.503 109.568
11390 -98.3334 60.5781
11400 -83.1388 8.85109
11410 -69.0619 10.4218
11420 -89.959 52.3582
11430 -57.1022 71.2944
11440 -14.4999 26.921
11450 -18.7413 40.6923
11460 -28.3077 35.1185
11470 -11.7461 43.3559
11480 21.0973 36.061
11490 3.08483 43.5787
11500 45.5785 76.0651
11510 53.2927 71.5256
11520 15.1583 15.014
11530 -10.8586 8.42697
11540 1.25688 -15.1532
11550 8.71184 -16.7987
11560 20.9291 -53.5293
11570 14.6942 -71.4988
11580 61.9776 -41.1017
11590 65.8096 -28.6005
11600 23.3769 -54.1402
11610 -10.0256 -92.6603
11620 6.12528 -84.8336
11630 -37.8644 -36.3519
11640 -95.3129 -8.87346
11650 -90.4731 -6.24647
11660 -39.9715 -11.9974
11670 -30.8011 -23.2431
11680 -73.1681 -37.0489
11690 -80.0413 -10.3287
11700 -74.8156 -33.1766
11710 -86.2217 -82.0641
11720 -34.3476 -92.968
11730 32.1056 -111.528
11740 26.7792 -116.383
11750 53.3167 -170.655
11760 86.9714 -152.711
11770 76.3032 -146.413
11780 38.287 -109.727
11790 46.2995 -110.954
11800 55.7847 -100.168
11810 23.1678 -79.949
11820 53.8345 -89.6337
11830 108.191 -107.082
11840 100.12 -100.671
11850 56.2402 -50.9133
11860 67.9842 12.1927
11870 107.789 47.0841
11880 79.4606 2.72964
11890 52.1077 -54.993
11900 54.7459 -22.8279
11910 33.7452 -12.0519
11920 7.12178 -0.295087
11930 10.048 24.3025
11940 -9.82611 54.7512
11950 -26.4221 54.4892
11960 -40.7753 65.8616
11970 -30.4624 108.619
11980 -50.6468 61.047
11990 -68.1282 36.4424
12000 -7.05052 55.2807
12010 44.8732 61.7777
12020 66.3044 7.79286
12030 80.9119 -8.0137
12040 67.1516 31.764
12050 99.29 19.0858
12060 141.157 -25.0756
12070 103.466 12.1096
12080 76.2148 15.3655
12090 21.4165 58.2295
12100 27.1294 65.9681
12110 28.8865 68.4613
12120 29.5386 11.3255
12130 54.9714 -66.7762
12140 80.821 -72.3402
12150 67.1273 -70.3248
12160 34.0518 -69.4022
12170 13.6418 -40.5008
12180 21.4612 17.6081
12190 -2.50494 35.2209
12200 -20.3837 8.8855
12210 4.71942 16.0182
12220 27.2907 -11.9334
12230 -15.4883 -17.5512
12240 -67.4056 -27.9788
12250 -67.0015 -8.07131
12260 -95.1983 23.2446
12270 -76.5828 33.433
12280 -68.2871 35.2049
12290 -85.2391 -32.6499
12300 -94.0769 -25.1213
12310 -53.7745 2.4409
12320 -49.8631 -0.430811
12330 -46.325 -3.53877
12340 -66.4882 -23.93
12350 -45.2398 4.27078
12360 -36.5294 13.3702
12370 -59.3373 -18.3228
12380 -27.2393 -13.0064
12390 34.5767 3.14216
12400 21.7212 -5.3971
12410 53.2311 4.14538
12420 14.9433 44.0126
12430 -6.56857 32.7045
12440 -25.2546 -2.21201
12450 -46.659 2.13939
12460 -28.9921 15.8981
12470 -8.83282 -20.5562
12480 10.5369 -20.2175
12490 31.4554 -7.97388
12500 32.0363 -13.2929
12510 43.8931 -68.6868
12520 29.4956 -75.492
12530 12.4381 -66.4851
12540 -28.6803 -54.7069
12550 -56.6266 -39.5777
12560 -95.9239 -7.43221
12570 -91.9002 -25.6378
12580 -48.4734 -60.9433
12590 -41.3738 -26.5584
12600 -57.7278 33.1876
12610 -85.2005 12.8138
12620 -77.6362 -43.2224
12630 -57.013 -31.2233
12640 -81.4284 8.79182
12650 -61.1673 24.6828
12660 -16.7103 -14.2188
12670 -26.9879 1.14504
12680 28.2605 21.5198
12690 59.5488 -2.59958
12700 37.3252 -12.3706
12710 19.2344 -33.8835
12720 30.9163 -7.29768
12730 64.2503 0.71147
12740 58.8786 19.8214
12750 42.194 -11.8008
12760 31.266 19.1574
12770 40.1913 46.1789
12780 -5.41073 48.7097
12790 1.12648 45.957
12800 69.4939 59.9173
12810 109.852 59.624
12820 104.794 92.1798
12830 128.97 93.9894
12840 87.0172 29.0151
12850 61.6006 39.9822
12860 52.345 52.0872
12870 30.9448 49.7636
12880 -10.0764 48.0307
12890 6.42608 10.8355
12900 7.62624 16.7883
12910 -26.7761 46.6588
12920 -27.8696 45.7512
12930 61.5775 26.3392
12940 103.45 30.9778
12950 93.1512 -14.3521
12960 93.6626 -66.0731
12970 70.9218 -56.8111
12980 24.6559 -4.17266
12990 -38.3115 -16.3935
13000 -8.66605 -38.0329
13010 3.75433 8.14425
13020 -66.6241 61.0659
13030 -87.8312 40.7493
13040 -42.8891 39.0032
13050 -59.0838 32.9594
13060 -47.4088 62.8097
13070 -36.2382 58.1299
13080 -39.388 3.95798
13090 -53.608 -23.6576
13100 -72.268 0.61486
13110 -54.2142 -48.845
